"","plot","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","liatris1_num.2015C","liatris2_num.2015C","liatris3_num.2015C","liatris1_num.2015D","liatris2_num.2015D","liatris3_num.2015D","liatris1_num.2015E","liatris2_num.2015E","liatris3_num.2015E","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","liatris1_num.2016C","liatris2_num.2016C","liatris3_num.2016C"
"127",1,0,10.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,NA,NA,NA,NA,NA,NA
"129",2,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,NA,NA,NA
"133",3,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"135",4,20,10.5,20,20,20,20,20,20,20,NA,NA,NA,NA,NA,NA,20,10.5,10.5,0,3,3,NA,NA,NA
"139",5,20,20,20,20,20,20,20,20,20,20,20,20,NA,NA,NA,20,10.5,20,20,20,20,NA,NA,NA
"144",6,20,20,3,3,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0,3,0,0,0,NA,NA,NA
"147",7,20,0,0,20,10.5,3,3,20,0,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,NA,NA,NA
"151",8,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,3,20,20,10.5,NA,NA,NA
"154",9,20,20,20,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,20,20,20,NA,NA,NA
"163",11,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,20,20,20,20,NA,NA,NA
"166",12,20,20,20,20,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,0,0,0,NA,NA,NA
"169",13,20,0,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0,10.5,3,20,0,NA,NA,NA
"171",14,0,3,0,0,0,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,0,NA,NA,NA
"174",15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"180",16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"182",17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"184",18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"186",19,20,0,0,20,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,0,NA,NA,NA,NA,NA,NA
"190",20,10.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA
"193",21,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10.5,NA,NA,NA
"195",22,3,3,0,3,10.5,3,10.5,10.5,0,NA,NA,NA,NA,NA,NA,3,0,3,10.5,10.5,0,10.5,10.5,0
"199",23,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,3,0,0,NA,NA,NA
"202",24,0,3,0,0,0,0,20,0,0,NA,NA,NA,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA
"206",25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"208",26,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"212",27,10.5,0,3,0,10.5,3,3,0,10.5,NA,NA,NA,NA,NA,NA,10.5,10.5,10.5,0,20,3,NA,NA,NA
"216",28,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"219",29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"222",30,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"225",31,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"227",32,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"231",33,20,10.5,20,20,20,20,20,10.5,20,20,20,20,20,20,20,10.5,3,10.5,0,3,0,NA,NA,NA
"239",34,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"241",35,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"245",36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"248",37,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"252",38,0,3,0,0,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,NA,NA,NA
"255",39,20,10.5,0,20,10.5,20,0,0,0,NA,NA,NA,NA,NA,NA,3,0,20,0,3,20,NA,NA,NA
"259",40,0,0,3,3,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0,3,NA,NA,NA,NA,NA,NA
"262",41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,NA,NA,NA
"264",42,3,0,3,20,20,0,20,0,0,NA,NA,NA,NA,NA,NA,10.5,20,10.5,10.5,20,0,NA,NA,NA
"268",43,3,0,0,20,0,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0,NA,NA,NA
"271",45,20,0,0,3,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,10.5,3,0,NA,NA,NA
"274",46,10.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"278",47,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,NA,NA,NA
"282",48,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.5,0,0,0,NA,NA,NA
"284",49,20,0,3,20,0,10.5,20,3,20,NA,NA,NA,NA,NA,NA,20,0,3,20,10.5,3,3,3,3
"288",50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,10.5,0,0,NA,NA,NA
"290",51,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,20,0,NA,NA,NA
"292",52,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"294",53,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"296",54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"298",55,20,0,3,20,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,3,20,20,10.5,10.5,10.5,3
"302",56,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"306",57,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"308",58,10.5,3,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0,0,0,0,NA,NA,NA
"311",59,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"313",60,10.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA
"345",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,3,0,0,0,NA,NA,NA
